"participant","correct_width","width_deviation","exp_version"
1,0.1,1.38777878078145e-17,"Exp1A"
1,0.25,-0.05,"Exp1A"
1,0.4,-0.05,"Exp1A"
1,0.1,-0.1,"Exp1A"
1,0.25,0.05,"Exp1A"
1,0.4,-0.15,"Exp1A"
1,0.4,-5.55111512312578e-17,"Exp1A"
1,0.1,-1.38777878078145e-17,"Exp1A"
1,0.25,-0.0999999999999999,"Exp1A"
1,0.4,0.0499999999999999,"Exp1A"
1,0.1,-0.05,"Exp1A"
1,0.25,-0.15,"Exp1A"
1,0.4,0.0499999999999999,"Exp1A"
1,0.25,-0.0999999999999999,"Exp1A"
1,0.1,6.93889390390723e-17,"Exp1A"
1,0.1,6.93889390390723e-17,"Exp1A"
1,0.4,0.0999999999999999,"Exp1A"
1,0.25,-0.0499999999999999,"Exp1A"
10,0.25,-0.05,"Exp1A"
10,0.4,-0.05,"Exp1A"
10,0.1,0.05,"Exp1A"
10,0.4,-0.05,"Exp1A"
10,0.25,5.55111512312578e-17,"Exp1A"
10,0.1,1.38777878078145e-17,"Exp1A"
10,0.25,0.05,"Exp1A"
10,0.1,0.0500000000000001,"Exp1A"
10,0.4,-0.05,"Exp1A"
10,0.4,-0.05,"Exp1A"
10,0.25,0.05,"Exp1A"
10,0.1,0.05,"Exp1A"
10,0.25,-0.1,"Exp1A"
10,0.1,1.38777878078145e-17,"Exp1A"
10,0.4,-0.15,"Exp1A"
10,0.1,0.15,"Exp1A"
10,0.4,0,"Exp1A"
10,0.25,0,"Exp1A"
11,0.25,0.05,"Exp1A"
11,0.1,-1.38777878078145e-17,"Exp1A"
11,0.4,-0.1,"Exp1A"
11,0.1,-0.05,"Exp1A"
11,0.25,-0.1,"Exp1A"
11,0.4,-0.1,"Exp1A"
11,0.1,0.0500000000000001,"Exp1A"
11,0.25,-0.0999999999999999,"Exp1A"
11,0.4,-5.55111512312578e-17,"Exp1A"
11,0.4,-0.15,"Exp1A"
11,0.1,-0.05,"Exp1A"
11,0.25,-0.15,"Exp1A"
11,0.1,-0.05,"Exp1A"
11,0.4,-0.15,"Exp1A"
11,0.25,-0.15,"Exp1A"
11,0.25,-0.1,"Exp1A"
11,0.1,6.93889390390723e-17,"Exp1A"
11,0.4,-0.05,"Exp1A"
12,0.1,0.05,"Exp1A"
12,0.25,-0.0499999999999999,"Exp1A"
12,0.4,-0.1,"Exp1A"
12,0.4,-0.2,"Exp1A"
12,0.25,-0.05,"Exp1A"
12,0.1,-0.05,"Exp1A"
12,0.25,-0.0499999999999999,"Exp1A"
12,0.4,-0.05,"Exp1A"
12,0.1,1.38777878078145e-17,"Exp1A"
12,0.25,-0.15,"Exp1A"
12,0.4,-5.55111512312578e-17,"Exp1A"
12,0.1,6.93889390390723e-17,"Exp1A"
12,0.1,-1.38777878078145e-17,"Exp1A"
12,0.25,0,"Exp1A"
12,0.4,-0.1,"Exp1A"
12,0.1,-0.05,"Exp1A"
12,0.4,-0.2,"Exp1A"
12,0.25,-0.05,"Exp1A"
13,0.4,-0.2,"Exp1A"
13,0.25,-0.0499999999999999,"Exp1A"
13,0.1,-0.05,"Exp1A"
13,0.25,-0.05,"Exp1A"
13,0.1,6.93889390390723e-17,"Exp1A"
13,0.4,-5.55111512312578e-17,"Exp1A"
13,0.1,0.15,"Exp1A"
13,0.25,0.15,"Exp1A"
13,0.4,0.0999999999999999,"Exp1A"
13,0.4,0.0499999999999999,"Exp1A"
13,0.1,0.25,"Exp1A"
13,0.25,-0.05,"Exp1A"
13,0.1,0.15,"Exp1A"
13,0.25,0.05,"Exp1A"
13,0.4,-5.55111512312578e-17,"Exp1A"
13,0.4,-0.05,"Exp1A"
13,0.25,0.05,"Exp1A"
13,0.1,1.38777878078145e-17,"Exp1A"
14,0.4,-0.05,"Exp1A"
14,0.1,0.05,"Exp1A"
14,0.25,-0.05,"Exp1A"
14,0.1,0.05,"Exp1A"
14,0.25,0.1,"Exp1A"
14,0.4,-0.05,"Exp1A"
14,0.1,0.05,"Exp1A"
14,0.25,-0.0499999999999999,"Exp1A"
14,0.4,0.0499999999999999,"Exp1A"
14,0.4,-0.1,"Exp1A"
14,0.1,1.38777878078145e-17,"Exp1A"
14,0.25,0.05,"Exp1A"
14,0.1,1.38777878078145e-17,"Exp1A"
14,0.25,0,"Exp1A"
14,0.4,0.0499999999999999,"Exp1A"
14,0.4,-5.55111512312578e-17,"Exp1A"
14,0.25,0.05,"Exp1A"
14,0.1,1.38777878078145e-17,"Exp1A"
15,0.25,-0.05,"Exp1A"
15,0.4,-0.2,"Exp1A"
15,0.1,6.93889390390723e-17,"Exp1A"
15,0.1,1.38777878078145e-17,"Exp1A"
15,0.25,-0.05,"Exp1A"
15,0.4,-0.05,"Exp1A"
15,0.4,-5.55111512312578e-17,"Exp1A"
15,0.25,-0.0499999999999999,"Exp1A"
15,0.1,1.38777878078145e-17,"Exp1A"
15,0.4,-0.1,"Exp1A"
15,0.25,-0.05,"Exp1A"
15,0.1,0,"Exp1A"
15,0.4,-0.05,"Exp1A"
15,0.1,0.15,"Exp1A"
15,0.25,-0.0499999999999999,"Exp1A"
15,0.4,-0.05,"Exp1A"
15,0.1,1.38777878078145e-17,"Exp1A"
15,0.25,0.1,"Exp1A"
16,0.4,-5.55111512312578e-17,"Exp1A"
16,0.1,0,"Exp1A"
16,0.25,0,"Exp1A"
16,0.1,0,"Exp1A"
16,0.25,-0.05,"Exp1A"
16,0.4,-5.55111512312578e-17,"Exp1A"
16,0.25,-0.05,"Exp1A"
16,0.1,-0.05,"Exp1A"
16,0.4,-0.05,"Exp1A"
16,0.4,0.15,"Exp1A"
16,0.25,0.15,"Exp1A"
16,0.1,1.38777878078145e-17,"Exp1A"
16,0.1,1.38777878078145e-17,"Exp1A"
16,0.25,0,"Exp1A"
16,0.4,0.0499999999999999,"Exp1A"
16,0.1,0.05,"Exp1A"
16,0.25,-0.0499999999999999,"Exp1A"
16,0.4,0.0999999999999999,"Exp1A"
17,0.1,0.0500000000000001,"Exp1A"
17,0.25,-0.0999999999999999,"Exp1A"
17,0.4,0.0499999999999999,"Exp1A"
17,0.4,0.2,"Exp1A"
17,0.25,-0.0999999999999999,"Exp1A"
17,0.1,-0.05,"Exp1A"
17,0.1,-0.05,"Exp1A"
17,0.25,-0.1,"Exp1A"
17,0.4,-0.05,"Exp1A"
17,0.1,6.93889390390723e-17,"Exp1A"
17,0.25,-0.15,"Exp1A"
17,0.4,-0.05,"Exp1A"
17,0.1,1.38777878078145e-17,"Exp1A"
17,0.25,0.05,"Exp1A"
17,0.4,0.0499999999999999,"Exp1A"
17,0.1,0,"Exp1A"
17,0.4,-0.05,"Exp1A"
17,0.25,0.2,"Exp1A"
18,0.1,0.15,"Exp1A"
18,0.25,-0.05,"Exp1A"
18,0.4,-0.05,"Exp1A"
18,0.4,-0.1,"Exp1A"
18,0.1,1.38777878078145e-17,"Exp1A"
18,0.25,-0.05,"Exp1A"
18,0.1,1.38777878078145e-17,"Exp1A"
18,0.25,-0.0999999999999999,"Exp1A"
18,0.4,-0.1,"Exp1A"
18,0.4,-0.1,"Exp1A"
18,0.1,1.38777878078145e-17,"Exp1A"
18,0.25,5.55111512312578e-17,"Exp1A"
18,0.25,-0.0499999999999999,"Exp1A"
18,0.1,0.05,"Exp1A"
18,0.4,0,"Exp1A"
18,0.1,0.05,"Exp1A"
18,0.4,-5.55111512312578e-17,"Exp1A"
18,0.25,-0.05,"Exp1A"
19,0.1,0.1,"Exp1A"
19,0.4,-0.1,"Exp1A"
19,0.25,0.05,"Exp1A"
19,0.25,-0.05,"Exp1A"
19,0.1,1.38777878078145e-17,"Exp1A"
19,0.4,-5.55111512312578e-17,"Exp1A"
19,0.1,-0.05,"Exp1A"
19,0.4,-5.55111512312578e-17,"Exp1A"
19,0.25,0.15,"Exp1A"
19,0.25,0.1,"Exp1A"
19,0.1,1.38777878078145e-17,"Exp1A"
19,0.4,0.0499999999999999,"Exp1A"
19,0.4,0.0999999999999999,"Exp1A"
19,0.1,6.93889390390723e-17,"Exp1A"
19,0.25,-0.0999999999999999,"Exp1A"
19,0.4,0.0499999999999999,"Exp1A"
19,0.25,5.55111512312578e-17,"Exp1A"
19,0.1,0.05,"Exp1A"
2,0.25,5.55111512312578e-17,"Exp1A"
2,0.4,-0.05,"Exp1A"
2,0.1,0.15,"Exp1A"
2,0.25,-0.1,"Exp1A"
2,0.4,-0.1,"Exp1A"
2,0.1,0.0500000000000001,"Exp1A"
2,0.1,0.05,"Exp1A"
2,0.25,-0.05,"Exp1A"
2,0.4,-5.55111512312578e-17,"Exp1A"
2,0.1,0,"Exp1A"
2,0.25,0.1,"Exp1A"
2,0.4,0.0499999999999999,"Exp1A"
2,0.4,-5.55111512312578e-17,"Exp1A"
2,0.1,0,"Exp1A"
2,0.25,0.05,"Exp1A"
2,0.25,0,"Exp1A"
2,0.4,0.0499999999999999,"Exp1A"
2,0.1,-0.05,"Exp1A"
20,0.25,0.05,"Exp1A"
20,0.1,6.93889390390723e-17,"Exp1A"
20,0.4,-0.05,"Exp1A"
20,0.1,6.93889390390723e-17,"Exp1A"
20,0.4,-5.55111512312578e-17,"Exp1A"
20,0.25,-0.05,"Exp1A"
20,0.25,0,"Exp1A"
20,0.4,-5.55111512312578e-17,"Exp1A"
20,0.1,-0.0499999999999999,"Exp1A"
20,0.4,-5.55111512312578e-17,"Exp1A"
20,0.1,-1.38777878078145e-17,"Exp1A"
20,0.25,-0.05,"Exp1A"
20,0.1,-0.0499999999999999,"Exp1A"
20,0.25,-0.05,"Exp1A"
20,0.4,-0.05,"Exp1A"
20,0.1,-0.05,"Exp1A"
20,0.4,-0.05,"Exp1A"
20,0.25,-0.1,"Exp1A"
3,0.25,-0.05,"Exp1A"
3,0.1,1.38777878078145e-17,"Exp1A"
3,0.4,-0.15,"Exp1A"
3,0.25,0,"Exp1A"
3,0.4,-0.15,"Exp1A"
3,0.1,6.93889390390723e-17,"Exp1A"
3,0.4,-0.05,"Exp1A"
3,0.25,5.55111512312578e-17,"Exp1A"
3,0.1,6.93889390390723e-17,"Exp1A"
3,0.25,-0.05,"Exp1A"
3,0.4,0.0499999999999999,"Exp1A"
3,0.1,6.93889390390723e-17,"Exp1A"
3,0.25,0.05,"Exp1A"
3,0.1,1.38777878078145e-17,"Exp1A"
3,0.4,-0.1,"Exp1A"
3,0.1,-0.05,"Exp1A"
3,0.4,-0.1,"Exp1A"
3,0.25,-0.05,"Exp1A"
4,0.1,6.93889390390723e-17,"Exp1A"
4,0.4,-0.25,"Exp1A"
4,0.25,-0.1,"Exp1A"
4,0.25,-0.15,"Exp1A"
4,0.1,-0.05,"Exp1A"
4,0.4,-0.25,"Exp1A"
4,0.25,0.05,"Exp1A"
4,0.1,0.0500000000000001,"Exp1A"
4,0.4,-0.05,"Exp1A"
4,0.25,-0.1,"Exp1A"
4,0.4,-0.05,"Exp1A"
4,0.1,-0.05,"Exp1A"
4,0.4,-0.15,"Exp1A"
4,0.25,0.1,"Exp1A"
4,0.1,-0.05,"Exp1A"
